Book,Event,Chapters,Themes
Isaiah,Judgment and Comfort for Israel,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66""","Judgment, Hope, Restoration"
Jeremiah,Jeremiah’s Call and Early Prophecies,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20""","Prophetic Calling, Rejection, Suffering"
Jeremiah,Prophecy of the New Covenant,"""31""","Covenant, Hope, Restoration"
Lamentations,The Fall of Jerusalem Lamented,"""1,2,3,4,5""","Mourning, Judgment, Hope"
Ezekiel,Ezekiel’s Vision of God,"""1""","Holiness, Sovereignty, Glory of God"
Ezekiel,The Valley of Dry Bones,"""37""","Resurrection, Restoration, Hope"
Daniel,Daniel in the Lion’s Den,"""6""","Faith, God's Deliverance, Courage"
Daniel,The Vision of the Four Beasts,"""7""","Prophecy, Kingdoms, Divine Sovereignty"
Hosea,Hosea’s Marriage to Gomer,"""1,2,3""","Unfaithfulness, God's Love, Redemption"
Hosea,Israel’s Unfaithfulness,"""4,5,6,7,8,9,10,11,12,13,14""","Judgment, Mercy, Repentance"
Joel,The Day of the Lord,"""1,2,3""","Judgment, Repentance, Restoration"
Amos,Prophecies Against Israel’s Neighbors,"""1,2""","Judgment, Justice, God's Sovereignty"
Amos,Judgment on Israel,"""3,4,5,6,7,8,9""","Social Justice, Covenant, Accountability"
Obadiah,Prophecy Against Edom,"""1""","Judgment, Justice, God's Sovereignty"
Jonah,Jonah’s Call and Flight,"""1""","Disobedience, Mercy, God's Pursuit"
Jonah,Jonah Preaches to Nineveh,"""3,4""","Repentance, God's Compassion, Judgment"
Micah,Judgment and Restoration of Israel,"""1,2,3,4,5,6,7""","Judgment, Mercy, Social Justice, Hope"
Nahum,Judgment on Nineveh,"""1,2,3""","Justice, God's Wrath, Deliverance"
Habakkuk,Habakkuk’s Complaint and God’s Response,"""1,2,3""","Faith, Sovereignty, Trust"
Zephaniah,The Day of the Lord,"""1,2,3""","Judgment, Restoration, Hope"
Haggai,Rebuilding the Temple,"""1,2""","Obedience, Priority of Worship, Encouragement"
Zechariah,Visions of Encouragement for Israel,"""1,2,3,4,5,6,7,8""","Restoration, Hope, Messianic Prophecy"
Zechariah,Prophecies of the Messiah,"""9,10,11,12,13,14""","Salvation, Kingship, End Times"
Malachi,Prophecies of Coming Judgment and Promise,"""1,2,3,4""","Covenant, Judgment, Restoration, Messiah"
Matthew,The Birth of Jesus,"""1,2""","Incarnation, Fulfillment of Prophecy"
Matthew,The Sermon on the Mount,"""5,6,7""","Ethics, Kingdom of God, Righteousness"
Matthew,The Crucifixion and Resurrection,"""26,27,28""","Atonement, Sacrifice, Victory over Death"
Mark,The Ministry of John the Baptist,"""1""","Repentance, Baptism, Preparation"
Mark,The Transfiguration of Jesus,"""9""","Revelation of Glory, Divinity of Christ"
Mark,The Great Commission,"""16""","Evangelism, Discipleship, Mission"
Luke,The Parable of the Good Samaritan,"""10""","Love, Mercy, Compassion"
Luke,The Prodigal Son,"""15""","Forgiveness, Repentance, God's Love"
Luke,The Road to Emmaus,"""24""","Resurrection, Revelation, Faith"
John,The Wedding at Cana,"""2""","Miracles, Divine Power, Jesus' Ministry"
John,The Raising of Lazarus,"""11""","Resurrection, Faith, Jesus' Power over Death"
John,Jesus’ High Priestly Prayer,"""17""","Unity, Glory, Mission"
Acts,Pentecost and the Coming of the Holy Spirit,"""2""","Holy Spirit, Church, Mission"
Acts,The Conversion of Saul (Paul),"""9""","Transformation, Mission, Grace"
Acts,The Council of Jerusalem,"""15""","Church Unity, Gentile Inclusion, Doctrine"
Romans,Justification by Faith,"""3,4,5""","Faith, Grace, Salvation, Righteousness"
Romans,Life in the Spirit,"""8""","Sanctification, Holy Spirit, Christian Living"
Romans,Christian Conduct and Love,"""12""","Ethics, Love, Humility"
1 Corinthians,Divisions in the Church,"""1,2,3,4""","Unity, Leadership, Wisdom"
1 Corinthians,The Resurrection of the Dead,"""15""","Resurrection, Hope, Victory over Death"
2 Corinthians,Paul’s Defense of His Ministry,"""10,11,12,13""","Apostleship, Suffering, Strength in Weakness"
Galatians,"Justification by Faith, Not Law","""3,4""","Grace, Freedom, Law, Spirit"
Ephesians,The Armor of God,"""6""","Spiritual Warfare, Strength, Perseverance"
Philippians,The Example of Christ's Humility,"""2""","Humility, Unity, Christlikeness"
Colossians,The Supremacy of Christ,"""1,2""","Christ’s Divinity, False Teachings"
1 Thessalonians,The Coming of the Lord,"""4,5""","Second Coming, Encouragement, Holiness"
2 Thessalonians,The Day of the Lord,"""2""","Judgment, Hope, Faithfulness"
1 Timothy,Qualifications for Church Leaders,"""3""","Leadership, Church Order, Godliness"
2 Timothy,Paul’s Final Charge to Timothy,"""4""","Perseverance, Faithfulness, Legacy"
Titus,Instructions for Church Leadership,"""1,2,3""","Good Works, Sound Doctrine, Grace"
Philemon,Paul’s Plea for Onesimus,"""1""","Forgiveness, Reconciliation, Christian Brotherhood"
Hebrews,Christ’s Superiority Over the Old Covenant,"""1,2,3,4,5,6,7,8,9,10""","Faith, Priesthood, Sacrifice, Covenant"
Hebrews,The Hall of Faith,"""11""","Faith, Perseverance, Witness"
James,Faith and Works,"""2""","Faith, Works, Christian Living"
1 Peter,Suffering for Doing Good,"""3,4""","Suffering, Hope, Christian Conduct"
2 Peter,Warning Against False Teachers,"""2""","False Teachings, Knowledge, Godliness"
1 John,Walking in the Light,"""1,2""","Love, Fellowship, Truth"
2 John,Walking in Truth and Love,"""1""","Truth, Love, Doctrine"
3 John,Hospitality and Support for Fellow Believers,"""1""","Hospitality, Fellowship, Truth"
Jude,Contending for the Faith,"""1""","False Teachings, Faith, Judgment"
Revelation,Letters to the Seven Churches,"""2,3""","Church, Warning, Promise"
Revelation,The Vision of the New Heaven and New Earth,"""21,22""","Restoration, Eternity, God's Sovereignty"
